Zeit,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bevökerung im Jahresdurchschnitt,7574140,7561910,7561434,7564984,7569794,7574586,7585317,7619566,7677850,7754891,7840709,7905632,7936118,7948278,7959016,7968041,7976789,7992323,8011566,8042293,8082121,8118245,8169441,8225278,8267948,8295189,8321541,8341483,8361069,8388534,8426311,8477230,8543932,8629519,8739806,8795073,8837707,8877637,8916845,8951520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
